,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks,82,19855,.451,13.6,.597,.332,.134,.083,.047,.403,.518,.640,.356,.374,.374,.352,.533,.081,528,.306,1175,.824,.245,.393,21,0
2,Boston Celtics*,82,19780,.465,14.5,.619,.248,.147,.114,.109,.381,.527,.677,.420,.448,.410,.365,.527,.051,337,.247,1028,.854,.196,.355,7,0
3,Brooklyn Nets*,82,19980,.449,13.7,.597,.299,.166,.084,.048,.403,.513,.639,.373,.423,.366,.353,.508,.051,326,.309,1207,.774,.185,.377,14,1
4,Charlotte Hornets,82,19830,.448,13.9,.622,.289,.165,.083,.084,.378,.507,.625,.387,.440,.401,.351,.494,.041,264,.305,1181,.777,.194,.415,37,2
5,Chicago Bulls,82,19905,.453,12.4,.705,.310,.191,.104,.101,.295,.496,.627,.408,.392,.368,.351,.465,.052,340,.295,1112,.838,.218,.400,14,0
6,Cleveland Cavaliers,82,19755,.444,13.4,.668,.277,.171,.114,.105,.332,.488,.619,.390,.411,.387,.355,.435,.040,248,.272,1042,.802,.207,.360,11,0
7,Dallas Mavericks,82,19780,.447,14.5,.578,.268,.157,.088,.065,.422,.524,.677,.400,.397,.371,.340,.506,.067,428,.233,917,.806,.194,.383,27,1
8,Denver Nuggets*,82,19730,.466,13.1,.652,.277,.203,.101,.070,.348,.527,.674,.407,.457,.394,.351,.571,.053,348,.270,1103,.883,.183,.406,17,1
9,Detroit Pistons*,82,19855,.440,14.0,.606,.263,.197,.074,.073,.394,.500,.638,.396,.365,.419,.348,.465,.044,277,.304,1133,.831,.252,.380,29,0
10,Golden State Warriors*,82,19805,.491,15.2,.616,.250,.107,.121,.138,.384,.557,.703,.433,.477,.458,.385,.610,.074,504,.216,916,.803,.195,.427,19,2
11,Houston Rockets*,82,19830,.449,15.6,.481,.261,.145,.050,.025,.519,.551,.670,.400,.415,.452,.356,.482,.060,392,.255,969,.626,.242,.372,8,1
12,Indiana Pacers*,82,19705,.475,12.9,.708,.311,.158,.086,.152,.292,.517,.651,.407,.416,.414,.374,.557,.035,224,.317,1304,.864,.229,.432,10,1
13,Los Angeles Clippers*,82,19830,.471,12.5,.705,.312,.182,.113,.098,.295,.507,.638,.397,.426,.385,.388,.497,.063,408,.288,1081,.849,.210,.409,15,0
14,Los Angeles Lakers,82,19780,.470,12.7,.658,.345,.155,.078,.080,.342,.541,.677,.387,.372,.419,.333,.539,.084,572,.307,1257,.793,.208,.348,11,0
15,Memphis Grizzlies,82,19880,.450,13.3,.658,.278,.184,.101,.095,.342,.505,.643,.419,.390,.393,.342,.562,.044,274,.265,1019,.826,.232,.359,15,0
16,Miami Heat,82,19730,.450,13.3,.632,.291,.175,.102,.064,.368,.509,.637,.427,.375,.364,.349,.505,.066,437,.270,1058,.880,.256,.375,16,1
17,Milwaukee Bucks*,82,19780,.476,13.9,.581,.340,.122,.066,.053,.419,.565,.698,.346,.424,.389,.353,.500,.073,488,.307,1342,.825,.195,.386,8,0
18,Minnesota Timberwolves,82,19830,.456,13.1,.685,.288,.176,.099,.121,.315,.504,.660,.391,.395,.388,.351,.505,.046,319,.286,1183,.862,.215,.387,16,0
19,New Orleans Pelicans,82,19755,.473,12.4,.676,.315,.199,.094,.068,.324,.536,.674,.423,.447,.344,.344,.542,.054,379,.312,1371,.869,.206,.351,12,0
