,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
20,New York Knicks,82,19780,.433,13.5,.666,.311,.129,.103,.122,.334,.479,.603,.345,.386,.385,.340,.418,.052,315,.288,1083,.826,.166,.342,8,0
21,Oklahoma City Thunder*,82,19855,.454,12.9,.653,.339,.132,.102,.080,.347,.510,.637,.362,.372,.393,.348,.451,.068,459,.294,1206,.814,.256,.376,21,2
22,Orlando Magic*,82,19780,.454,14.4,.640,.246,.161,.104,.128,.360,.509,.674,.422,.384,.401,.356,.553,.053,353,.239,954,.832,.191,.380,23,0
23,Philadelphia 76ers*,82,19805,.471,13.5,.658,.285,.166,.105,.101,.342,.529,.696,.401,.401,.401,.359,.546,.064,412,.261,1089,.937,.178,.367,12,0
24,Phoenix Suns,82,19880,.459,13.1,.665,.301,.158,.114,.093,.335,.525,.656,.407,.440,.400,.329,.528,.068,434,.267,1033,.808,.234,.339,14,1
25,Portland Trail Blazers*,82,19855,.467,13.2,.661,.329,.133,.090,.109,.339,.523,.621,.404,.454,.428,.359,.472,.060,383,.273,1103,.749,.151,.366,8,0
26,Sacramento Kings,82,19730,.464,13.1,.679,.277,.199,.097,.104,.321,.504,.674,.375,.404,.395,.378,.507,.063,437,.274,1125,.818,.200,.390,17,0
27,San Antonio Spurs*,82,19805,.478,13.9,.714,.214,.179,.156,.165,.286,.513,.680,.457,.436,.431,.392,.494,.029,186,.230,995,.865,.196,.456,16,0
28,Toronto Raptors*,82,19880,.474,13.8,.621,.279,.169,.090,.083,.379,.539,.659,.452,.431,.432,.366,.499,.044,294,.263,1101,.852,.276,.425,15,0
29,Utah Jazz*,82,19755,.468,13.5,.606,.315,.153,.073,.064,.394,.541,.684,.369,.398,.412,.356,.556,.091,573,.288,1098,.848,.277,.374,19,1
30,Washington Wizards,82,19930,.468,13.8,.630,.306,.137,.086,.101,.370,.543,.698,.403,.386,.393,.341,.533,.067,454,.282,1210,.868,.213,.360,12,0
,League Average,82,19818,.461,13.5,.641,.292,.162,.096,.092,.359,.520,.658,.400,.413,.401,.355,.513,.058,380,.278,1113,.823,.214,.383,15.7,0.5
